GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
frameworks/app,pt.com.francisco.usecases.task,TaskInteractor,15,28,0,0,5,5,2,5,2,5
frameworks/interfaceAdapters,pt.com.francisco.interfaceadapters.controllers,TaskController,0,29,0,0,0,5,0,5,0,5
